"id","shipweight","price","modelno","title","brand","dimensions"
"1555","2","40.99","SCHDOC1","Sirius SCHDOC1 Connect Home Dock","Audiovox","7.5 x 5.2 x 4.0 inches"
"1592","1",,"IPD2PCBK","Scosche snapSHIELD P2 Polycarbonate Case iPad 2 - Smoke IPD2PCBK","Scosche","13.0 x 9.0 x 0.5 inches"
"1649","1","16.99","CB-USBXT","Sabrent CB-USBXT USB 2.0 Type A Male to Type A Female Active Extension Cable 32 feet","Sabrent","7.5 x 5.5 x 2.8 inches"
"1662","1","20",,"rooCASE Executive Portfolio Magenta Leather Case Cover with Landscape Portrait View for BlackBerry Playbook Tablet Wi-Fi 4G","rooCASE","8.8 x 6.2 x 1.2 inches"
"1766","2","152.96","Penpower WorldCard Ultra Plus","Penpower Portable Color Business Card Scanner WorldCard Ultra Plus","PenPower","4.2 x 3.8 x 1.2 inches"
"1767","11.7","79.95","4040","Dymo Pelouze 4040 400 lb. Digital Shipping Scale","Pelouze","12.5 x 12.0 x 2.8 inches"
"1769","1","16.8","7667","PC Treasures ClickIt Classic Mouse - Black 07667","PC Treasures","5.0 x 3.0 x 2.0 inches"
"1794","2",,"DMC-TS3S","Panasonic Lumix DMC-TS3 12.1 MP Rugged Waterproof Digital Camera with 4.6x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch LCD Silver","Panasonic","7.0 x 6.0 x 2.0 inches"
"1880","2","149.95","GP8-BHEN","Joby GP8-BHEN Gorillapod Focus with Ballhead X bundle","Joby","14.6 x 3.0 x 2.8 inches"
"1891","1","17.61","CL-470","Incipio CL-470 Screen Protector for iPad 2 Clear - 2 Pack","Incipio","9.4 x 7.2 inches"
"1903","1","44.88","BCVW1","Sony BCVW1 Quick Charger for W Series Batteries Black","Sony","6.0 x 3.5 x 2.0 inches"
"2010","9.8","12.54","5293","Avery High Visibility 1-2 3 Inch Diameter White Labels 600 Pack 5293","Avery","12.0 x 9.3 x 0.5 inches"
"2073","1","45.03","5450PE3512SB","Radeon HD5450 512MB Pcie DDR3","Diamond Multimedia",
"2077","11",,,"Quartet 7693M - Contour Fabric Bulletin Board 36 x 24 Mauve Plastic Burgundy Frame","Quartet",
"2138","2.4","30.88","SSK107","SEAL SHIELD SSK107 Medical Grade Keyboard","Seal Shield",
"2200","10","129.99","AW0065-A","Polk Audio RC65i 2-Way In-Wall Speakers Pair White","Polk Audio","20.0 x 16.0 x 12.0 inches"
"2201","1","18.99","P-FD16G/MINI-EFS2","PNY Mini Attach 16GB USB 2.0 Flash Drive P-FD16G MINI-EF","PNY","2.3 x 2.3 x 0.6 inches"
"2202","35","97.23",,"Plastic Party Cups for Cold Drinks","SOLO Cup Company",
"2203","9",,"TS-W253R","Pioneer TS-W253R 10 4-Ohm Subwoofer","Pioneer","10.9 x 10.9 x 5.5 inches"
"2204","5","46.99","TS-A1683R","Pioneer TS-A1683R 6.5-Inch 280-Watt 4-Way Speakers","Pioneer","15.6 x 14.4 x 1.2 inches"
"2205","4",,"DEH-6300UB","Pioneer DEH-6300UB CD Receiver with iPod iPhone Control Pandora player and MultiColor LCD","Pioneer","9.9 x 8.8 x 4.4 inches"
"2206","6","318.99","AVH-P3200BT","Pioneer AVH-P3200BT In-Dash DVD Multimedia AV Receiver","Pioneer","7.2 x 5.2 x 4.4 inches"
"2207","6","43.93","SQM6375/27","Philips SQM6375 27 Simply Straight HDTV Fixed Wall Mount for 42- to 60-Inch Screens","Philips","37.1 x 8.3 x 1.8 inches"
"2208","7.7","51.73","DLM2261/17","Philips DLM2261 17 Iphone Hard-Shell Power Case for Iphone 3G and 3GS","Philips","6.8 x 5.0 x 2.0 inches"
"2209","2","129","15921","Pentax Optio 15921 14 MP Digital Camera with 5x Optical Zoom Black","Pentax",
"2210","14","144.02","SC250001","Pelican Storm IM2500 Black Case With Foam Hardigg Case 1 Each","Pelican Hardigg","21.7 x 14.1 x 8.9 inches"
"2211","5","99.98","KX-TG6545B","Panasonic KX-TG6545B DECT 6.0 PLUS Expandable Digital Cordless Phone with Answering System Black 5 Handsets","Panasonic","6.4 x 6.3 x 6.1 inches"
"2212","3","36.62","1170-000-110","Pelican 1170 Carrying Case for Multi-Purpose - Black","Pelican","12.0 x 8.8 x 4.2 inches"
"2213","2","19.95","7625","PC Treasures SlipIt Pro 17.3-Inch Neoprene Case with Zippered Pockets - Black","PC Treasures","18.0 x 12.0 x 2.0 inches"
"2214","2","189.99","MKi9200","Parrot MKi9200 Advanced Color Display Bluetooth Hands-Free Music Kit","Parrot","8.6 x 7.5 x 2.9 inches"
"2215","219","546.92",,"Park Avenue Stack-On Storage with Enclosed Back","Hon","74.0 x 42.0 x 16.0 inches"
"2216","1","29.8","RP-HTX7-R1","Panasonic RP-HTX7-R1 Monitor Stereo Headphones Headphones red","Panasonic","9.3 x 7.4 x 3.6 inches"
"2217","1",,"KX-TCA60","Panasonic KX-TCA60 Hands-Free Headset with Comfort Fit Headband","Panasonic","6.0 x 3.0 x 2.0 inches"
"2218","3","349","HDC-TM80R","Panasonic HDC-TM80R HD Twin Memory Camcorder Red","Panasonic",
"2219","4","39.93",,"Oxford 54443 - Double Stuff Gusseted 2-Pocket Laminated Paper Folder 200-Sheet Capacity Navy","Oxford",
"2220","6.4","22.68","APL2-I4UNI-B6-E4OTR","OtterBox Universal Defender Case for iPhone 4 Black Silicone Hot Pink Plastic","OtterBox","7.0 x 4.5 x 2.0 inches"
"2221","1",,"CMK-MICRO","Omnimount CMK Micro 1-Inch Cable Management Covers","OmniMount","19.8 x 4.0 x 1.0 inches"
"2222","5","69.29","43324404","Okidata Black Toner Cartridge 5k pages Type C8 for C5500n C5650dn C5650n C5800Ldn","Oki Data","12.0 x 4.2 x 3.0 inches"
"2223","1.2","22.99",,"Officesnax Single Serve Instant Oatmeal Maple Brown Sugar 1.9Lb Bowl 12 Box","Office Snax","16.5 x 11.8 x 3.1 inches"
"2224","1","164.99","AGT3-25SAT3-120G","OCZ Technology 120 GB Agility 3 SSD- 3G SATA 6.0 Gb-s 2.5-Inch Sold State Drive AGT3-25SAT3-120G","OCZ","6.0 x 5.0 x 0.6 inches"
"2225","29","119.99","Phantom White","NZXT Crafted Series ATX Full Tower Steel Chassis - Phantom White","Nzxt","24.6 x 21.3 x 8.8 inches"
"2226","15.5","169.99",,"Nikon Coolpix S205 12MP Digital Camera with 4x Optical Zoom - Red","Nikon",
"2227",,"19.95","8176","Nikon Cleaning Combo Kit Nikon 3-Piece Lens Cleaning Kit Nikon Lens Pen Cleaning System Hurricane Air Blower for D3x D3s D3 D7000 D5100 D5000 D3100 D3000 D300s Digital SLR Cameras Lenses Binoculars Scopes","Nikon",
"2228","1","15","DV-1280-3","Netgear Router AC Adapter","Netgear","4.5 x 4.0 x 2.5 inches"
"2229","20",,"LCD1550V-BK","NEC MultiSync LCD1550V-BK 15 LCD Monitor Black","NEC",
"2230","14","1359","GX780-011US","MSI GX780-011US 17.3-Inch Laptop Black","MSI","18.6 x 13.8 x 6.0 inches"
"2231","7.6","804.32","FX420-001US","MSI FX420-001US 14-Inch Laptop - Black","MSI","22.0 x 13.8 x 1.2 inches"
"2232","11","92.8","MRWT69W","Boss MRWT69W 6-Inch X 9-Inch 4-Way Waketower Speaker System","BOSS","14.1 x 13.5 x 11.9 inches"
"2233","6.2","152.42",,"MPR-SEQ by Middle Atlantic Products","Middle Atlantic",
"2234","12.9","163.82",,"MPR-SEQ-1C by Middle Atlantic Products","Middle Atlantic",
"2235","1","28.53","APL8-IPAD1-20-E4OTR","OtterBox Utility Series Latch for iPad iPad 2 - Black APL8-IPAD1-20-E4OTR","OtterBox","12.0 x 8.0 x 3.0 inches"
"2236","8.8","30","89456N","Motorola Vehicle Dock for Motorola ATRIX 4G with Rapid Car Charger Motorola Retail Packaging","Motorola","7.0 x 3.5 x 3.0 inches"
"2237","3","47.9",,"Motorola Signal Booster 4-Port BDA-S4 Cable Modem TV HDTV Amplifier","Motorola",
"2238","2","39.54","MH230R","Motorola MH230R 23-Mile Range 22-Channel FRS GMRS Two-Way Radio Pair","Motorola","6.2 x 2.1 x 1.2 inches"
"2239","1","28.02","C9363WN#140","Original HP 97 Large Tri-color Ink Cartridge in Retail Packaging","HP","5.5 x 4.8 x 1.5 inches"
"2240","1","2.99","DDT25-BLK","Motion Systems Large Digital Camera Bag DEC25-BLK","Motion Systems","7.5 x 6.0 x 2.0 inches"
"2241","23.3","137.35","MMF225106001","MMF Industries 225106001 Model 1060 Touch-Button Large Steel Cash Drawer Black","MMF","21.0 x 18.5 x 6.0 inches"
"2242","9.9","36.27","2648BLA","MMF Industries Steelmaster Steel Vertical Organizer 15 x 8.125 x 11 Inches 8 Slots Black 2648004","MMF","15.8 x 11.7 x 8.6 inches"
"2243","2","154.7","DSD538392","Hidden Camera Clock","Mini Gadgets",
"2244","30.9","201.86",,"Middle Atlantic - Rack fan kit 115 V","Middle Atlantic",
"2245","48","131.99","BRK8","Middle Atlantic BRK8 - Rack - black - 8U - 19","Middle Atlantic","36.5 x 18.0 inches"
"2246","1","64.95","MPLAY-HD Net","Micca MPLAY-HD Net 1080p Full-HD Digital Media Player and Network Streamer With UPnP Client and Internet Radio","Micca","6.1 x 4.1 x 1.1 inches"
"2247","1.7","1049.82","N2127892","Olympus Zuiko Digital - Fisheye lens - 8 mm - f 3.5 ED - Four Thirds","Olympus",
"2248","10.4",,"12441","Mcs Industries 8x10 Picture Frame","MCS",
"2249","8.8","13.28","Ultra Zoom Case","Olympus Ultra Zoom Case - Case for digital photo camera - nylon - gray","Olympus","10.1 x 7.1 x 4.9 inches"
"2250","39","1667.99","MSP-19LCD8CAM4","Mace MSP-19LCD8CAM4 DVR LCD Combo Kit with 19-Inch LCD","Mace","23.5 x 22.6 x 12.5 inches"
"2251","3","203.39","LW2301","LOREX LW2301 4-Channel Wireless Quad Surveillance System with Digital Video Recorder 1 Indoor Outdoor Motion Camera","Lorex","11.8 x 7.8 x 3.3 inches"
"2252","6","309.99","LW2902","Lorex LIVE SD9 Wireless Digital Security System - LW2902","Lorex","7.7 x 7.4 x 2.8 inches"
"2253","6","333.99","LH324501","Lorex Edge LH324501 4-Channel Video Security DVR with Internet 3G Mobile Viewing and 500GB HDD Black","Lorex","11.4 x 7.0 x 1.6 inches"
"2254","1","64.95","T100 Blue","Olympus T-100 12MP Digital Camera with 3x Optical Zoom and 2.4 inch LCD Blue","Olympus","3.7 x 2.4 x 0.9 inches"
"2255","4","153.7","930-000097","Logitech Squeezebox Radio Music Player with Color Screen Red","Logitech","8.8 x 5.2 x 4.0 inches"
"2256","3","19.99","920-001771","Logitech Wireless Keyboard K340","Logitech","17.5 x 7.0 x 1.7 inches"
"2257","1","8.39","ESATA-ESATA-6BU","Link Depot Rounded eSATA to eSATA Cable Blue 6 Feet","Link Depot","9.0 x 4.5 x 1.7 inches"
"2258","3.2","27.35","LW-DV315FN","Digital Camcorder Blue","Lifeworks",
"2259","3.2","27.35","LW-DV313FU","Digital Camcorder Purple","Lifeworks",
"2260","1.4",,,"DIGITAL CAMERA- PURPLE","Lifeworks",
"2261","7","64.16","LM1-65S-Blk","US Brown Bear LM1-65S-Blk Large Ultra Low Profile LED TV Mount for 42 to 65 Displays Black","U.S. Brown Bear","34.1 x 24.0 x 0.4 inches"
"2262","2","32.47","TN330","Brother TN330 Black Toner Cartridge","Brother","20.3 x 14.8 x 5.6 inches"
"2263","8.7","122","QL1050YX1","QL-1050 Electronic Label Maker","Brother",
"2264","2.2","14.14","TZS231","Brother Printers 12MM 1 2 TZS231 TZ Industrial Tape","Brother","3.8 x 2.8 x 0.8 inches"
"2265","31","247.99","MFC7860DW","Brother Printer MFC7860DW Wireless Monochrome Printer with Scanner Copier Fax","Brother","15.9 x 15.7 x 12.4 inches"
"2266","3","28.7",,"PC302RF Refill Kit","Brother",
"2267","25","214.99","MFC-990cw","Brother MFC-990CW Color Inkjet All-in-One with 5.8GHz Cordless Handset and Wireless Connectivity","Brother","21.9 x 18.1 x 10.0 inches"
"2268","51","379","MFC8890DW","Brother MFC-8890DW High-Performance All-in-One Laser Printer With Wireless Networking and Duplex","Brother","20.9 x 18.7 x 17.7 inches"
"2269",,"29.99",,"Oakland Raiders iPod Touch 4G Hard Case","Tribeca",
"2270","25","148.88","MFC-7220","Brother MFC-7220 Laser Multifunction Printer","Brother","19.0 x 17.5 x 17.0 inches"
"2271","47","329","MFC-6890cdw","Brother MFC-6890CDW Professional Series Color Inkjet All-in-One Printer Copier Scanner Fax with Duplex Printing and Wireless Networking","Brother","21.3 x 19.2 x 12.7 inches"
"2272","30",,"MFC-5460cn","Brother MFC-5460cn Color Photo Inkjet All-in-One Flatbed with Networking","Brother","17.0 x 15.0 x 9.0 inches"
"2273","2","157.99","942-10701-0003-001","nVidia GeForce Wireless 3D Stereo Glasses Kit with Emitter","nVidia","20.3 x 16.6 x 8.2 inches"
"2274","34","419.84","PPF4750E","Brother IntelliFax 4750e High-Performance Business-Class Laser Fax","Brother","21.8 x 20.2 x 17.2 inches"
"2275","19","79.98","HL2240D","Brother HL2240D Wireless Monochrome Printer","Brother","14.5 x 14.2 x 7.2 inches"
"2276","1.3","26.99",,"Brother Tz Extra-Strength Adhesive Laminated Labeling Tape 1-1 2W Black On White","Brother",
"2277","0.8",,,"Nuance PDF Converter Pro 5.0","Nuance",
"2278","1.6","9.49","M531","Brother Tape Cartridge 0.5IN Wide Non-laminated Black On Blue M531","Brother","5.3 x 3.3 x 0.6 inches"
"2279","2","42.49","TN450","Brother Black High Yield Toner Cartridge TN450","Brother","14.4 x 8.0 x 4.4 inches"
"2280","2","30.99","TN420","Brother Black Toner Cartridge TN420","Brother","14.4 x 8.0 x 4.4 inches"
"2281","1","24.48","TZS961","Brother Intl 1.5IN EXTRA STRENGTH BLK SILVER TZS961","Brother","4.8 x 2.8 x 1.8 inches"
"2282","1","8.54","1230","Brother 1230 Correction Ribbon for Daisy Wheel Typewriter 2 Pack","Brother","7.8 x 5.8 x 1.4 inches"
"2283","2","31.65","INV-250","Bravo View INV-250 - 250-Watt Peak Power Inverter with USB Port","Bravo View",
"2285","47",,,"BRAND NEW ATLANTIC INC 35435668 MEDIA TOWER ELITE","Atlantic",
"2286","9.6",,"RWA-219-BL","RWA-219-BL Vehicle Mount","Bracketron","11.0 x 9.0 x 2.0 inches"
"2287","1","15.77","XUSON","Bower XUSON Sony Rapid Universal Charger","Bower","7.2 x 4.8 x 3.2 inches"
"2288","1","24.99","XUSAM","Bower XUSAM Samsung Rapid Universal Charger","Bower","7.2 x 4.8 x 3.2 inches"
"2289","1","25.4","VFK77C","Bower VFK77C 77mm 5-Piece Digital Filter Kit","Bower","3.9 x 3.9 x 2.0 inches"
"2290","1","14.99","SCB500","Bower SCB500 Digital SLR Case - Small","Bower","7.0 x 6.8 x 4.8 inches"
"2291","1","96.36","636980504223","Bower Digital Autofocus Power Zoom Flash for Canon EOS 7D 5D 60D 50D Rebel T3 T3i T2i T1i XS Digital SLR Cameras SFD680C","Bower","6.2 x 3.0 x 1.8 inches"
"2292","4","67.57","BV2650UA","Boss BV2650UA DVD Player with USB and Memory Card Ports","BOSS","6.4 x 6.2 x 2.0 inches"
"2293","6","167.11","BV9958B","BOSS AUDIO BV9958B 7 SINGLE DVD WMA MP4 MP3 BT SDVD","BOSS","11.5 x 8.5 x 4.5 inches"
"2294","1","49.95","BPD-BLG","Booq Booqpad Folio for iPad 2 BPD-BLG","Booq","10.0 x 8.0 x 1.0 inches"
"2295","1","33.85","L07-00002-01","Bluetrek LostDog Case for iPad 2 - Dark Brown L07-00002-01","BlueTrek","33.0 x 25.5 x 1.6 inches"
"2296","0.8","23.85","L02-00007-01","Bluetrek L02-00007-01 LostDog Slim Hard Case for iPhone 4 - 1 Pack - Retail Packaging - Black with Camoflage","BlueTrek","4.8 x 2.5 x 0.5 inches"
"2297","3","30.24","F8T017","Bluetooth Adptr USB edr Class 1 V2.1 with button","Belkin","6.5 x 5.8 x 1.5 inches"
"2298","6.4","24.95","Q1","BlueAnt Q1 Bluetooth Headset with Voice Control - Retail Packaging - Black","BlueAnt","2.2 x 0.7 x 0.3 inches"
"2299","1","9.99",,"New York Knicks iPhone 3G Duo Case","Tribeca",
"2300","1","18.99",,"New York Knicks iPhone 4 Case Black Shell","Tribeca",
"2301","1.6","53.94","USEN-BAW-S3","BlueAnt S3 Voice Controlled Car Speakerphone Black Retail Packaging","BlueAnt","16.0 x 12.0 x 10.0 inches"
"2302","4","7.99","Black iPod 6ft cable Aftermarket Generic","Extra Long Black iPod iPhone 3G 3GS iPhone 4 USB Charge and Sync Cable More Than Double the Length of the Standard Cord - 2m 6.5ft Long. UPDATE NOW FITS IPHONE 4 BUMPER AND ALL OTHER CASES","XTG Technology",
"2303","4","212.18","X560H2KG","Black Hy Print Cartridge for X560","Lexmark","14.6 x 8.4 x 5.0 inches"
"2304","2.4","12.99","Blackberry Storm 9500/9530","Blackberry Storm 9500 9530 - NCAA North Carolina Tar Heels - Hard Case Cover Faceplate Snap On Housing Protector","BlackBerry",
"2305","1.2","189.95","8530","BlackBerry 8530 Prepaid Phone Virgin Mobile","BlackBerry","3.5 x 1.9 x 0.9 inches"
"2306","8","10.31",,"BICGPM11BE - Mark-It Fine Point Permanent Marker","BIC","5.5 x 2.8 x 1.4 inches"
"2307","0.8","12.54","20891","Bicycle Totally Fun Card Games Jc Cs","Encore",
"2308","8.8","23.42",,"BIC DECP41ASST - Great Erase Bold Dry Erase Markers Chisel Tip Assorted 4 Set","BIC",
"2309","11","848.49","9H.J3K77.14E","BenQ MW811 ST - DLP Projector - 3D Ready 09598Y Category Digital Projectors","BenQ","11.4 x 9.9 x 5.0 inches"
"2310","9",,"MS612ST","BenQ MS612ST DLP 3D Ready Short Throw SVGA White Projector 4.0 Lb","BenQ","16.0 x 14.0 x 7.5 inches"
"2311","3","153.02","HD7011","Bell O HDMI 7000 Series HD7011 High Speed Digital A V Cable 11 Meters 36.1FT Length 14.9 Gbps TruSpeed Transfer Rate 1080p 120Hz","Bell'O","11.0 x 7.8 x 4.8 inches"
"2312","2","59.99","F9K1003","Belkin N450 Wireless N Router Latest Generation","Belkin","10.4 x 9.0 x 3.0 inches"
"2313","2","19.88","F5D7234-4","Belkin Wireless G 4-Port Router","Belkin","10.0 x 8.0 x 2.5 inches"
"2314","1","18.09","F5D8071","Belkin Wireless Express Card N1","Belkin","8.6 x 5.9 x 2.4 inches"
"2315","2","61.99","F9K1102","Belkin N600 Wireless Dual-Band N Router Latest Generation","Belkin","10.4 x 9.0 x 3.0 inches"
"2316","1","12.49","F8Z646ttC00","Belkin iPod Touch Shield Micra Tint-Black","Belkin","7.0 x 5.0 x 1.5 inches"
"2317","1","12.3","F8Z647ttC03","Belkin iPod Touch Shield Eclipse-Royal Purple","Belkin","7.0 x 5.0 x 1.5 inches"
"2318","3","44.99","BV112050fc06","Belkin Surge Protector 12 Outlet With USB","Belkin","16.4 x 6.9 x 1.6 inches"
"2319","1","11.95","AV22300-06","Belkin PureAV AV22300-06 6-Foot HDMI-to-HDMI Audio Video Cable","Belkin","10.2 x 6.8 x 2.0 inches"
"2320","4","7.06","F2N025A10","Belkin PRO Series VGA Monitor Extension Cable - VGA extension cable - HD-15 M - HD-15 F - 10 ft - thumbscrews stranded","Belkin","10.6 x 4.1 x 1.8 inches"
"2321","1","14.18","722868104798","Belkin Pro Series PS 2 Mouse And Keyboard Extension Cable - Keyboard Mouse Extender - 6 Pin PS 2 F - 6 Pin PS 2 M - 10  664084 Category KVM Cables and Switches","Belkin","9.0 x 4.8 x 1.8 inches"
"2322","1","16.07","AM22302-12-SN","Belkin HDMI to HDMI Cable 12 feet","Belkin","9.3 x 5.7 x 2.9 inches"
